amfi_code,fund_house,scheme_name,category,sub_category,plan,launch_date,benchmark,expense_ratio_pct,exit_load_pct,fund_manager,risk_category,sebi_category_code
119551,SBI Mutual Fund,SBI Bluechip Fund - Direct Growth,Equity,Large Cap,Direct,2013-01-01,Nifty 100 TRI,0.84,1.0,Sohini Andani,Very High,EC01
120503,ICICI Prudential MF,ICICI Pru Bluechip Fund - Direct Growth,Equity,Large Cap,Direct,2013-01-01,Nifty 100 TRI,0.87,1.0,Anish Tawakley,Very High,EC01
118632,Nippon India MF,Nippon India Large Cap Fund - Direct,Equity,Large Cap,Direct,2013-01-01,Nifty 100 TRI,0.92,1.0,Sailesh Raj Bhan,Very High,EC01
119092,Axis MF,Axis Bluechip Fund - Direct Growth,Equity,Large Cap,Direct,2013-01-01,Nifty 100 TRI,0.54,1.0,Shreyash Devalkar,Very High,EC01
120841,Kotak MF,Kotak Bluechip Fund - Direct Growth,Equity,Large Cap,Direct,2013-01-01,Nifty 100 TRI,0.61,1.0,Harsha Upadhyaya,Very High,EC01
125497,HDFC MF,HDFC Top 100 Fund - Direct Growth,Equity,Large Cap,Direct,2013-01-01,Nifty 100 TRI,1.05,1.0,Priya Ranjan,Very High,EC01
118834,SBI Mutual Fund,SBI Small Cap Fund - Direct Growth,Equity,Small Cap,Direct,2013-09-09,BSE 250 SmallCap TRI,0.69,1.0,R. Srinivasan,Very High,EC03
120716,Mirae Asset MF,Mirae Asset Emerging Bluechip - Direct,Equity,Large & Mid Cap,Direct,2014-07-09,Nifty LargeMidcap 250 TRI,0.65,1.0,Neelesh Surana,Very High,EC04
120465,PPFAS MF,Parag Parikh Flexi Cap - Direct Growth,Equity,Flexi Cap,Direct,2013-05-24,Nifty 500 TRI,0.59,0.0,Rajeev Thakkar,Very High,EC05
120586,Axis MF,Axis Long Term Equity (ELSS) - Direct,Equity,ELSS,Direct,2015-12-29,Nifty 500 TRI,0.54,0.0,Jinesh Gopani,Very High,EC08
125354,ICICI Prudential MF,ICICI Pru Technology Fund - Direct,Equity,Sectoral-Technology,Direct,2013-03-13,BSE TECk TRI,0.97,1.0,Vaibhav Dusad,Very High,EC09
120847,Kotak MF,Kotak Emerging Equity Fund - Direct,Equity,Mid Cap,Direct,2014-01-01,Nifty Midcap 150 TRI,0.4,1.0,Pankaj Tibrewal,Very High,EC02
119775,Nippon India MF,Nippon India Small Cap Fund - Direct,Equity,Small Cap,Direct,2013-09-16,BSE 250 SmallCap TRI,0.79,1.0,Samir Rachh,Very High,EC03
